dates,eps_estimate,eps_actual,eps_pct_diff,ticker,country,category
1999-10-13,0.0,0.0,12.62,AAPL,USA,"tech, electronics"
2000-01-19,0.01,0.01,11.21,AAPL,USA,"tech, electronics"
2000-04-19,0.01,0.01,9.62,AAPL,USA,"tech, electronics"
2000-07-18,0.01,0.01,3.08,AAPL,USA,"tech, electronics"
2000-10-18,0.01,0.01,-3.94,AAPL,USA,"tech, electronics"
2001-04-18,0.0,0.0,931.58,AAPL,USA,"tech, electronics"
2002-01-16,0.0,0.0,2.08,AAPL,USA,"tech, electronics"
2002-07-16,0.0,0.0,3.21,AAPL,USA,"tech, electronics"
2002-10-16,0.0,0.0,-66.67,AAPL,USA,"tech, electronics"
2003-01-15,0.0,0.0,-47.06,AAPL,USA,"tech, electronics"
2003-04-16,0.0,0.0,97.22,AAPL,USA,"tech, electronics"
2003-07-16,0.0,0.0,61.82,AAPL,USA,"tech, electronics"
2003-10-15,0.0,0.0,20.17,AAPL,USA,"tech, electronics"
2004-01-14,0.0,0.0,9.58,AAPL,USA,"tech, electronics"
2004-04-14,0.0,0.0,46.2,AAPL,USA,"tech, electronics"
2004-07-14,0.0,0.0,15.15,AAPL,USA,"tech, electronics"
2004-10-13,0.0,0.0,47.4,AAPL,USA,"tech, electronics"
2005-01-12,0.01,0.01,43.84,AAPL,USA,"tech, electronics"
2005-04-13,0.01,0.01,39.7,AAPL,USA,"tech, electronics"
2005-07-13,0.01,0.01,17.95,AAPL,USA,"tech, electronics"
2005-10-11,0.01,0.01,2.11,AAPL,USA,"tech, electronics"
2006-01-18,0.02,0.02,7.06,AAPL,USA,"tech, electronics"
2006-04-19,0.02,0.02,8.25,AAPL,USA,"tech, electronics"
2006-07-19,0.02,0.02,22.87,AAPL,USA,"tech, electronics"
2006-10-18,0.02,0.02,22.52,AAPL,USA,"tech, electronics"
2007-01-17,0.03,0.04,45.34,AAPL,USA,"tech, electronics"
2007-04-25,0.02,0.03,35.91,AAPL,USA,"tech, electronics"
2007-07-25,0.03,0.03,27.07,AAPL,USA,"tech, electronics"
2007-10-22,0.03,0.04,17.88,AAPL,USA,"tech, electronics"
2008-01-22,0.06,0.06,8.87,AAPL,USA,"tech, electronics"
2008-04-23,0.04,0.04,8.12,AAPL,USA,"tech, electronics"
2008-07-21,0.04,0.04,10.39,AAPL,USA,"tech, electronics"
2008-10-21,0.04,0.05,13.29,AAPL,USA,"tech, electronics"
2009-01-21,0.05,0.06,28.27,AAPL,USA,"tech, electronics"
2009-04-22,0.04,0.05,22.05,AAPL,USA,"tech, electronics"
2009-07-21,0.04,0.05,15.03,AAPL,USA,"tech, electronics"
2009-10-19,0.05,0.07,27.8,AAPL,USA,"tech, electronics"
2010-01-25,0.07,0.13,76.0,AAPL,USA,"tech, electronics"
2010-04-20,0.09,0.12,36.11,AAPL,USA,"tech, electronics"
2010-07-20,0.11,0.13,12.68,AAPL,USA,"tech, electronics"
2010-10-18,0.15,0.17,13.65,AAPL,USA,"tech, electronics"
2011-01-18,0.19,0.23,19.03,AAPL,USA,"tech, electronics"
2011-04-20,0.19,0.23,19.09,AAPL,USA,"tech, electronics"
2011-07-19,0.21,0.28,33.58,AAPL,USA,"tech, electronics"
2011-10-18,0.26,0.25,-4.54,AAPL,USA,"tech, electronics"
2012-01-24,0.36,0.5,36.46,AAPL,USA,"tech, electronics"
2012-04-24,0.36,0.44,22.56,AAPL,USA,"tech, electronics"
2012-07-24,0.37,0.33,-10.12,AAPL,USA,"tech, electronics"
2012-10-25,0.31,0.31,-0.92,AAPL,USA,"tech, electronics"
2013-01-23,0.48,0.49,2.52,AAPL,USA,"tech, electronics"
2013-04-23,0.36,0.36,0.88,AAPL,USA,"tech, electronics"
2013-07-23,0.26,0.27,2.05,AAPL,USA,"tech, electronics"
2013-10-28,0.28,0.3,3.82,AAPL,USA,"tech, electronics"
2014-01-27,0.5,0.52,3.08,AAPL,USA,"tech, electronics"
2014-04-23,0.36,0.42,13.99,AAPL,USA,"tech, electronics"
2014-07-22,0.31,0.32,3.98,AAPL,USA,"tech, electronics"
2014-10-20,0.33,0.36,8.8,AAPL,USA,"tech, electronics"
2015-01-27,0.65,0.77,17.52,AAPL,USA,"tech, electronics"
2015-04-27,0.54,0.58,7.93,AAPL,USA,"tech, electronics"
2015-07-21,0.45,0.46,2.13,AAPL,USA,"tech, electronics"
2015-10-27,0.47,0.49,4.26,AAPL,USA,"tech, electronics"
2016-01-26,0.81,0.82,1.63,AAPL,USA,"tech, electronics"
2016-04-26,0.5,0.48,-4.89,AAPL,USA,"tech, electronics"
2016-07-26,0.35,0.36,2.6,AAPL,USA,"tech, electronics"
2016-10-25,0.41,0.42,0.84,AAPL,USA,"tech, electronics"
2017-01-31,0.8,0.84,4.55,AAPL,USA,"tech, electronics"
2017-05-02,0.5,0.53,3.97,AAPL,USA,"tech, electronics"
2017-08-01,0.39,0.42,6.27,AAPL,USA,"tech, electronics"
2017-11-02,0.47,0.52,10.85,AAPL,USA,"tech, electronics"
2018-02-01,0.96,0.97,0.87,AAPL,USA,"tech, electronics"
2018-05-01,0.67,0.68,2.14,AAPL,USA,"tech, electronics"
2018-07-31,0.55,0.59,7.27,AAPL,USA,"tech, electronics"
2018-11-01,0.7,0.73,4.56,AAPL,USA,"tech, electronics"
2019-01-29,1.04,1.05,0.31,AAPL,USA,"tech, electronics"
2019-04-30,0.59,0.62,4.18,AAPL,USA,"tech, electronics"
2019-07-30,0.52,0.55,3.9,AAPL,USA,"tech, electronics"
2019-10-30,0.71,0.76,6.71,AAPL,USA,"tech, electronics"
2020-01-28,1.14,1.25,9.73,AAPL,USA,"tech, electronics"
2020-04-30,0.57,0.64,12.78,AAPL,USA,"tech, electronics"
2020-07-30,0.51,0.65,26.25,AAPL,USA,"tech, electronics"
2020-10-29,0.7,0.73,4.25,AAPL,USA,"tech, electronics"
2021-01-27,1.41,1.68,19.02,AAPL,USA,"tech, electronics"
2021-04-28,0.99,1.4,41.89,AAPL,USA,"tech, electronics"
2021-07-27,1.01,1.3,29.12,AAPL,USA,"tech, electronics"
2021-10-28,1.24,1.24,0.3,AAPL,USA,"tech, electronics"
2022-01-27,1.89,2.1,11.17,AAPL,USA,"tech, electronics"
2022-04-28,1.43,1.52,6.44,AAPL,USA,"tech, electronics"
2022-07-28,1.16,1.2,3.25,AAPL,USA,"tech, electronics"
2022-10-27,1.27,1.29,1.55,AAPL,USA,"tech, electronics"
2023-02-02,1.94,1.88,-2.88,AAPL,USA,"tech, electronics"
2023-05-04,1.43,1.52,6.03,AAPL,USA,"tech, electronics"
2023-08-03,1.19,1.26,5.49,AAPL,USA,"tech, electronics"
2023-10-25,1.39,,,AAPL,USA,"tech, electronics"
2024-01-31,,,,AAPL,USA,"tech, electronics"
2024-05-02,,,,AAPL,USA,"tech, electronics"
2024-08-01,,,,AAPL,USA,"tech, electronics"
2013-01-23,0.99,,,ABBV,USA,pharmaceuticals
2013-04-26,0.67,0.68,2.1,ABBV,USA,pharmaceuticals
2013-07-26,0.79,0.82,4.16,ABBV,USA,pharmaceuticals
2013-10-25,0.78,0.82,5.67,ABBV,USA,pharmaceuticals
